timestamp,event_slug,direction,btc_price,target_price,distance,time_left_seconds,contract_price,real_prob,implied_prob,edge,ev_per_dollar,sigma_move,volatility,payout_multiplier,should_bet,bet_placed,stake_usd,mode,outcome,pnl_usd
2026-04-02T18:59:36.361217+00:00,btc-updown-5m-1775156100,up,66972.05,67000.38,28.33,23.942408,0.035,0.294809,0.035,0.259809,0.2598,0.586,0.00014764,28.57,True,True,5.0,simulation,pending,0
2026-04-02T18:59:45.490922+00:00,btc-updown-5m-1775156100,up,66974.66,67000.38,25.72,14.796513,0.015,0.26826,0.015,0.25326,0.2533,0.675,0.00014784,66.67,True,True,5.0,simulation,pending,0
2026-04-02T18:59:54.745736+00:00,btc-updown-5m-1775156100,up,66975.95,67000.38,24.43,5.549083,0.015,0.176855,0.015,0.161855,0.1619,1.048,0.00014773,66.67,True,True,5.0,simulation,pending,0
2026-04-02T19:00:05.210509+00:00,btc-updown-5m-1775156400,up,66992.04,66981.99,-10.05,295.139758,0.495,0.52139,0.495,0.02639,0.0264,-0.057,0.00015299,2.02,True,True,5.0,simulation,pending,0
2026-04-02T19:04:32.449652+00:00,btc-updown-5m-1775156400,up,66949.05,66981.99,32.94,27.881423,0.055,0.346048,0.055,0.291048,0.291,0.426,0.00021878,18.18,True,True,5.0,simulation,pending,0
2026-04-02T19:04:41.688623+00:00,btc-updown-5m-1775156400,up,66949.15,66981.99,32.84,18.625959,0.045,0.315319,0.045,0.270319,0.2703,0.52,0.00021865,22.22,True,True,5.0,simulation,pending,0
2026-04-02T19:04:50.886197+00:00,btc-updown-5m-1775156400,up,66949.14,66981.99,32.85,9.410637,0.015,0.252464,0.015,0.237464,0.2375,0.732,0.00021861,66.67,True,True,5.0,simulation,pending,0
2026-04-02T19:05:08.864238+00:00,btc-updown-5m-1775156700,down,66977.24,66950.0,27.24,291.503956,0.375,0.460716,0.375,0.085716,0.0857,0.105,0.00022687,2.67,True,True,5.0,simulation,pending,0
2026-04-02T19:09:35.974646+00:00,btc-updown-5m-1775156700,down,66986.55,66950.0,36.55,24.317162,0.045,0.278439,0.045,0.233439,0.2334,0.64,0.00017284,22.22,True,True,5.0,simulation,pending,0
2026-04-02T19:09:45.200735+00:00,btc-updown-5m-1775156700,down,66994.02,66950.0,44.02,15.085041,0.015,0.192373,0.015,0.177373,0.1774,0.975,0.00017351,66.67,True,True,5.0,simulation,pending,0
2026-04-02T19:09:54.413496+00:00,btc-updown-5m-1775156700,down,67003.97,66950.0,53.97,5.871332,0.005,0.064288,0.005,0.059288,0.0593,1.911,0.00017394,200.0,True,True,5.0,simulation,pending,0
2026-04-02T19:14:39.250072+00:00,btc-updown-5m-1775157000,down,67045.26,67003.98,41.28,21.066877,0.025,0.186884,0.025,0.161884,0.1619,1.0,0.0001341,40.0,True,True,5.0,simulation,pending,0
2026-04-02T19:14:48.531684+00:00,btc-updown-5m-1775157000,down,67052.7,67003.98,48.72,11.803554,0.005,0.094836,0.005,0.089836,0.0898,1.578,0.00013401,200.0,True,True,5.0,simulation,pending,0
2026-04-02T19:15:06.557532+00:00,btc-updown-5m-1775157300,up,67058.97,67055.28,-3.69,293.86372,0.485,0.509068,0.485,0.024068,0.0241,-0.024,0.00013273,2.06,True,True,5.0,simulation,pending,0
2026-04-02T19:19:34.146372+00:00,btc-updown-5m-1775157300,up,67020.5,67055.28,34.78,26.174354,0.045,0.229372,0.045,0.184372,0.1844,0.819,0.00012384,22.22,True,True,5.0,simulation,pending,0
2026-04-02T19:19:43.363551+00:00,btc-updown-5m-1775157300,up,67020.49,67055.28,34.79,16.934926,0.025,0.181705,0.025,0.156705,0.1567,1.025,0.0001231,40.0,True,True,5.0,simulation,pending,0
2026-04-02T19:19:52.536228+00:00,btc-updown-5m-1775157300,up,67030.0,67055.28,25.28,7.745108,0.015,0.169774,0.015,0.154774,0.1548,1.083,0.00012508,66.67,True,True,5.0,simulation,pending,0
2026-04-02T19:24:38.786394+00:00,btc-updown-5m-1775157600,down,67032.0,67030.0,2.0,21.527374,0.43,0.486996,0.43,0.056996,0.057,0.035,0.0001854,2.33,True,True,5.0,simulation,pending,0
2026-04-02T19:24:48.105899+00:00,btc-updown-5m-1775157600,up,67027.46,67030.0,2.54,12.202078,0.125,0.477948,0.125,0.352948,0.3529,0.059,0.00018435,8.0,True,True,5.0,simulation,pending,0
2026-04-02T19:29:42.891925+00:00,btc-updown-5m-1775157900,down,67021.34,67020.5,0.84,17.395851,0.415,0.495308,0.415,0.080308,0.0803,0.013,0.00024014,2.41,True,True,5.0,simulation,pending,0
2026-04-02T19:29:52.045012+00:00,btc-updown-5m-1775157900,down,67035.36,67020.5,14.86,8.236358,0.095,0.382728,0.095,0.287728,0.2877,0.319,0.00024188,10.53,True,True,5.0,simulation,pending,0
2026-04-02T19:30:02.449746+00:00,btc-updown-5m-1775158200,up,67035.36,67035.36,0.0,298.076407,0.475,0.5,0.475,0.025,0.025,0.0,0.00024174,2.11,True,True,5.0,simulation,pending,0
2026-04-02T19:34:38.059920+00:00,btc-updown-5m-1775158200,up,66932.89,67035.36,102.47,22.310797,0.005,0.077142,0.005,0.072142,0.0721,1.754,0.00018478,200.0,True,True,5.0,simulation,pending,0
